Date_CH4,CH4ppb,Date_CO2,CO2ppb,Date_N2O,N2Oppb,year,grid
combined Law Dome ice (black) & firn DSSW20K  (red); DE08-2 (blue)  for plotting,,,,,,,
1973.92,1417.095,1972.92,330.416,1969.13,292.938,1900,0
1970.69,1372.935,1969.69,323.787,1968.85,293.623,1900,500
1970.13,1367.255,1969.13,324.065,1967.07,295.499,,
1969.85,1352.502,1968.85,320.257,1965.67,292.618,,
1968.07,1335.269,1967.07,320.368,1965.60,292.640,,
1966.67,1300.034,1965.67,319.177,1963.86,296.672,,
1966.60,1293.194,1965.60,319.875,1962.93,290.976,,
1964.86,1277.163,1963.86,319.264,1962.71,294.915,,
1964.50,1274.027,1963.50,318.947,1960.71,288.811,,
1963.93,1273.322,1962.93,319.757,1958.90,295.946,,
1963.93,1268.286,1962.93,317.322,1958.00,292.255,,
1963.86,1263.026,1962.86,317.420,1957.20,289.763,,
1963.71,1287.816,1962.71,319.119,1957.00,293.855,,
1963.64,1275.299,1962.64,317.503,1957.00,289.803,,
1961.71,1227.792,1960.71,312.981,1955.33,289.970,,
1959.90,1213.556,1958.90,316.473,1955.33,293.067,,
1959.00,1207.487,1958.00,314.716,1954.13,288.498,,
1958.20,1208.566,1957.20,315.144,1952.90,287.533,,
1958.00,1189.568,1957.00,314.380,1950.00,287.923,,
1958.00,1204.159,1957.00,314.511,1948.93,288.638,,
1956.33,1177.206,1955.33,314.604,1948.07,288.664,,
1956.33,1185.855,1955.33,313.748,1945.18,288.720,,
1956.00,1177.903,1955.00,314.884,1944.91,287.935,,
1956.00,1166.327,1955.00,314.661,1940.92,285.313,,
1955.13,1156.867,1954.13,313.126,1939.36,286.899,,
1955.07,1152.969,1954.07,312.673,1939.36,287.969,,
1954.93,1159.312,1953.93,311.591,1939.09,285.318,,
1954.93,1154.086,1953.93,312.816,1938.00,285.661,,
1953.90,1152.758,1952.90,312.328,1937.08,284.956,,
1951.00,1121.201,1950.00,313.718,1937.08,285.829,,
1949.93,1097.418,1948.93,309.837,1936.00,284.780,,
1949.07,1112.124,1948.07,311.628,1935.20,287.690,,
1948.00,1106.069,1947.00,313.270,1932.70,285.624,,
1948.00,1112.073,1947.00,312.579,1931.15,284.511,,
1947.08,1096.713,1946.08,312.618,1931.15,285.644,,
1946.18,1123.374,1945.18,311.421,1929.06,289.349,,
1945.91,1094.296,1944.91,310.222,1926.11,284.150,,
1944.92,1090.474,1943.92,312.425,1926.11,291.925,,
1943.55,1090.023,1942.55,311.675,1925.70,282.728,,
1943.55,1089.904,1942.55,312.196,1925.70,283.987,,
1943.09,1083.762,1942.09,312.795,1925.70,285.002,,
1943.09,1085.397,1942.09,312.108,1925.20,283.834,,
1942.00,1087.120,1941.00,311.860,1925.20,283.354,,
1941.92,1080.313,1940.92,307.610,1923.13,287.740,,
1940.36,1071.813,1939.36,311.021,1923.13,287.304,,
1940.36,1073.227,1939.36,311.375,1923.13,283.433,,
1940.09,1084.684,1939.09,312.260,1918.33,284.395,,
1940.09,1071.935,1939.09,308.422,1918.33,288.691,,
1939.92,1070.117,1938.92,307.814,1916.10,282.597,,
1939.00,1073.236,1938.00,310.716,1912.60,282.937,,
1939.00,1071.902,1938.00,312.445,1911.42,285.392,,
1938.08,1060.688,1937.08,306.927,1910.92,281.308,,
1938.08,1060.584,1937.08,307.631,1910.15,278.251,,
1937.15,1070.432,1936.15,309.491,1901.89,278.717,,
1937.15,1062.031,1936.15,309.129,1900.27,278.738,,
1937.00,1056.787,1936.00,307.130,1899.00,277.310,,
1935.00,1049.130,1935.20,306.193,1897.08,274.583,,
1935.00,1049.520,1934.00,306.723,1896.90,276.720,,
1935.00,1054.303,1934.00,306.595,1896.90,276.242,,
