Date,Root zone soil moisture  (percentile rank)
1/1/2026,88
2/1/2026,87
3/1/2026,87
4/1/2026,86
5/1/2026,86
6/1/2026,84
7/1/2026,80
8/1/2026,80
9/1/2026,77
10/1/2026,78
11/1/2026,77
12/1/2026,78
13/01/2026,79
14/01/2026,77
15/01/2026,79
16/01/2026,80
17/01/2026,81
18/01/2026,78
19/01/2026,76
20/01/2026,74
21/01/2026,72
22/01/2026,69
23/01/2026,63
24/01/2026,61
25/01/2026,63
26/01/2026,62
27/01/2026,62
28/01/2026,63
29/01/2026,63
30/01/2026,60
31/01/2026,57
1/2/2026,55
2/2/2026,56
3/2/2026,60
4/2/2026,60
5/2/2026,58
6/2/2026,62
7/2/2026,67
8/2/2026,75
9/2/2026,79
10/2/2026,84
11/2/2026,84
12/2/2026,85
13/02/2026,88
14/02/2026,91
15/02/2026,91
16/02/2026,92
17/02/2026,91
18/02/2026,91
19/02/2026,91
20/02/2026,91
21/02/2026,91
22/02/2026,92
23/02/2026,94
24/02/2026,96
25/02/2026,96
26/02/2026,96
27/02/2026,96
28/02/2026,97
1/3/2026,98
2/3/2026,99
3/3/2026,100
4/3/2026,99
5/3/2026,99
6/3/2026,98
7/3/2026,98
8/3/2026,98
9/3/2026,98
10/3/2026,98
11/3/2026,98
12/3/2026,98
13/03/2026,98
14/03/2026,98
15/03/2026,98
16/03/2026,99
17/03/2026,99
18/03/2026,99
19/03/2026,98
20/03/2026,98
21/03/2026,98
22/03/2026,98
23/03/2026,98
24/03/2026,98
25/03/2026,97
26/03/2026,97
27/03/2026,98
28/03/2026,99
29/03/2026,99
30/03/2026,99
31/03/2026,98
1/4/2026,98
2/4/2026,98
3/4/2026,98
4/4/2026,98
5/4/2026,97
6/4/2026,96
7/4/2026,95
8/4/2026,93
9/4/2026,92
10/4/2026,91
11/4/2026,91
12/4/2026,90
13/04/2026,90
14/04/2026,88
15/04/2026,87
16/04/2026,86
17/04/2026,87
18/04/2026,87
19/04/2026,88
20/04/2026,89
21/04/2026,89
22/04/2026,87
23/04/2026,85
24/04/2026,81
25/04/2026,79
26/04/2026,77
27/04/2026,76
28/04/2026,73
29/04/2026,70
30/04/2026,67
1/5/2026,65
2/5/2026,63
3/5/2026,63
4/5/2026,70
5/5/2026,70
6/5/2026,70
7/5/2026,69
8/5/2026,66
9/5/2026,63
10/5/2026,61
11/5/2026,60
12/5/2026,60
13/05/2026,53
14/05/2026,50
15/05/2026,47
16/05/2026,52
17/05/2026,68
18/05/2026,76
19/05/2026,82
